subid, subage, gender, group, code, targ, resp, unknown, trial, block, Acc, RT, ts_RT, diff,
102,25, F, adult,1,1,32,132,83,1,1,406.05,401.95,4.11, 
102,25, F, adult,1,9,32,132,84,1,1,495.16,491.8,3.36, 
102,25, F, adult,2,3,0,132,85,1,1,0,0,0, 
102,25, F, adult,1,2,32,132,86,1,1,339.04,334.83,4.21, 
102,25, F, adult,1,6,32,132,87,1,1,339.81,337.05,2.75, 
102,25, F, adult,1,6,32,132,88,1,1,406.39,402.28,4.11, 
102,25, F, adult,1,9,32,132,89,1,1,661.91,659.01,2.9, 
102,25, F, adult,3,111,100,132,90,1,999,6978.87,6975.84,3.03, 
102,25, F, adult,1,4,32,132,91,1,1,427.89,424.04,3.86, 
102,25, F, adult,1,7,32,132,92,1,1,373.57,369.41,4.16, 
102,25, F, adult,1,1,32,132,93,1,1,378.37,374.36,4.01, 
102,25, F, adult,1,7,32,132,94,1,1,368.35,361.58,6.77, 
102,25, F, adult,1,6,32,132,95,1,1,398.26,394.22,4.04, 
102,25, F, adult,1,2,32,132,96,1,1,425.59,421.44,4.15, 
102,25, F, adult,1,1,32,132,97,1,1,492.06,484.99,7.06, 
102,25, F, adult,1,7,32,132,98,1,1,441.12,436.99,4.14, 
102,25, F, adult,2,3,0,132,99,1,1,0,0,0, 
102,25, F, adult,1,8,32,132,100,1,1,334.09,329.79,4.3, 
102,25, F, adult,1,1,32,132,101,1,1,354.91,350.87,4.04, 
102,25, F, adult,1,5,32,132,102,1,1,310.45,303.44,7.02, 
102,25, F, adult,2,3,0,132,103,1,1,0,0,0, 
102,25, F, adult,1,4,32,132,104,1,1,298.74,294.68,4.06, 
102,25, F, adult,1,6,32,132,105,1,1,328.62,321.3,7.33, 
102,25, F, adult,1,5,32,132,106,1,1,412.09,406.75,5.34, 
102,25, F, adult,1,1,32,132,107,1,1,496.42,492.95,3.48, 
102,25, F, adult,2,3,0,132,108,1,1,0,0,0, 
102,25, F, adult,1,5,32,132,109,1,1,441.86,437.79,4.07, 
102,25, F, adult,1,1,32,132,110,1,1,390.67,383.81,6.86, 
